# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = nullml_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = checking.data.R
# init = checking.init.R
# random
#   seed = 782630709
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_raw,tau_theta,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,mu_theta,alpha
# Adaptation terminated
# Step size = 0.105792
# Diagonal elements of inverse mass matrix:
# 1.56706e-05, 0.131556, 0.0275045, 0.0321792, 0.0283959, 0.0340268, 0.0358156, 0.0274527, 1.37206
-8031.68,0.997311,0.105792,6,63,0,8036.91,0.0255037,3.13131,-6.86965,-7.29312,-6.72444,-6.74906,-6.73884,-6.72385,-2.94333,1.29051
-8028.51,0.94227,0.105792,5,31,0,8035.69,0.0263196,4.51831,-6.79569,-7.35629,-6.8566,-6.75628,-6.69185,-6.84403,-1.47321,1.30108
-8031.12,0.992981,0.105792,4,15,0,8032.46,0.0241286,5.46614,-6.71116,-7.20878,-6.61528,-6.55469,-6.78178,-6.92567,-2.27306,1.27288
-8034.39,0.597422,0.105792,5,47,0,8040.06,0.0272766,6.63871,-6.98389,-7.51493,-6.75755,-6.97405,-6.79141,-6.88334,-0.61216,1.31359
-8029.96,1,0.105792,4,15,0,8035.87,0.0264407,7.39341,-6.75894,-7.31773,-6.92376,-6.80197,-6.81297,-6.94375,-0.934548,1.30266
-8029.64,0.999145,0.105792,4,31,0,8032.94,0.0271831,8.33291,-6.76913,-7.33239,-6.89719,-6.78953,-6.91203,-6.88803,-0.967262,1.31236
-8035.58,0.995793,0.105792,4,31,0,8039.87,0.0246862,2.7229,-6.84166,-7.33357,-6.65504,-6.59107,-6.68852,-6.76817,-1.41077,1.28
-8030.8,0.758819,0.105792,3,7,0,8038.37,0.0247076,3.51683,-6.82641,-7.31898,-6.69725,-6.60022,-6.72643,-6.78915,-1.37932,1.28028
-8028.84,0.971177,0.105792,5,63,0,8033.03,0.0241948,5.64769,-6.62897,-7.27517,-6.72002,-6.62172,-6.57496,-6.7715,-1.32069,1.27373
-8030.95,0.937154,0.105792,4,15,0,8033.04,0.0240596,6.33855,-6.85428,-7.15224,-6.6663,-6.57499,-6.64485,-6.75442,-0.74237,1.27201
-8031.17,0.997982,0.105792,5,63,0,8035.05,0.0258491,4.75975,-6.64744,-7.41485,-6.83381,-6.75313,-6.83635,-6.92079,-2.32702,1.29497
-8028.47,0.99453,0.105792,5,63,0,8037.06,0.0289063,5.22042,-7.00194,-7.48461,-7.03509,-6.89052,-6.8885,-7.03613,-1.07578,1.33518
-8033.73,0.678684,0.105792,5,47,0,8037.61,0.0337145,9.87934,-7.3027,-7.81299,-7.3335,-7.1368,-7.24098,-7.29856,-1.25995,1.40094
